Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX
a,1041179,8382,976941,8380,20415.27,6.0175,99.93,3.9234,Article,993445,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5
aa,87,70,6,5,1.71,1.9445,0.83,1.8513,Name,79,0.92,Name.Noun,79.7
aaa,25,23,5,3,0.49,1.4150,0.27,1.3802,Name,20,0.80,Name.Noun,20.5
aah,2688,634,52,37,52.71,3.4296,7.56,2.8028,Interjection,2657,1.00,Interjection,2657
aahed,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
aahing,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,2,1.00,Verb,2
aahs,5,4,5,4,0.10,0.7782,0.05,0.6990,Noun,5,1.00,Noun,5
aal,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
aardvark,21,12,14,8,0.41,1.3424,0.14,1.1139,Noun,16,0.76,Noun.Verb.Name,16.3.2
aargh,33,26,2,1,0.65,1.5315,0.31,1.4314,Interjection,32,1.00,Interjection,32
aaron,747,162,0,0,14.65,2.8739,1.93,2.2122,Name,744,1.00,Name,744
aarrgh,1,1,0,0,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
aarrghh,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
aas,2,2,1,1,0.04,0.4771,0.02,0.4771,Noun,1,0.50,Noun.Name,1.1
ab,75,51,17,15,1.47,1.8808,0.61,1.7160,Unclassified,57,0.78,Unclassified.Noun.Verb,57.11.5
aba,4,4,1,1,0.08,0.6990,0.05,0.6990,Noun,2,1.00,Noun,2
abaca,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
aback,15,15,15,15,0.29,1.2041,0.18,1.2041,Adverb,15,1.00,Adverb,15
abacus,12,10,10,9,0.24,1.1139,0.12,1.0414,Noun,11,0.92,Noun.Name,11.1
abacuses,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abaddon,10,4,0,0,0.20,1.0414,0.05,0.6990,Noun,6,0.60,Noun.Name,6.4
abaft,2,1,2,1,0.04,0.4771,0.01,0.3010,Verb,1,0.50,Verb.Noun,1.1
abalone,26,11,14,9,0.51,1.4314,0.13,1.0792,Verb,14,0.54,Verb.Noun.Name,14.9.3
abalones,6,2,1,1,0.12,0.8451,0.02,0.4771,Noun,6,1.00,Noun,6
abandon,413,312,345,281,8.10,2.6170,3.72,2.4955,Verb,395,0.96,Verb.Noun,395.18
abandoned,678,538,650,522,13.29,2.8319,6.41,2.7316,Verb,480,0.71,Verb.Adjective,480.200
abandoner,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abandoning,86,79,84,77,1.69,1.9395,0.94,1.9031,Verb,86,1.00,Verb,86
abandonment,49,45,45,41,0.96,1.6990,0.54,1.6628,Noun,49,1.00,Noun,49
abandons,14,14,14,14,0.27,1.1761,0.17,1.1761,Verb,14,1.00,Verb,14
abase,3,3,2,2,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
abastard,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abate,5,3,5,3,0.10,0.7782,0.04,0.6021,Verb,4,0.80,Verb.Noun,4.1
abated,4,4,4,4,0.08,0.6990,0.05,0.6990,Verb,4,1.00,Verb,4
abatement,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
abates,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,2,1.00,Verb,2
abating,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
abattoir,7,5,4,4,0.14,0.9031,0.06,0.7782,Noun,7,1.00,Noun,7
abay,3,1,0,0,0.06,0.6021,0.01,0.3010,Name,3,1.00,Name,3
abb,3,3,0,0,0.06,0.6021,0.04,0.6021,Name,28,0.54,Name.Noun,28.24
abba,9,8,0,0,0.18,1.0000,0.10,0.9542,Name,7,0.78,Name.Noun,7.2
abbas,5,2,0,0,0.10,0.7782,0.02,0.4771,Name,5,1.00,Name,5
abbe,2,2,0,0,0.04,0.4771,0.02,0.4771,Name,2,1.00,Name,2
abbess,2,2,1,1,0.04,0.4771,0.02,0.4771,Noun,1,0.50,Noun.Name,1.1
abbesses,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abbey,162,53,45,20,3.18,2.2122,0.63,1.7324,Noun,152,0.94,Noun.Name,152.10
abbot,43,24,18,9,0.84,1.6435,0.29,1.3979,Name,22,0.51,Name.Noun,22.21
abbott,401,130,1,1,7.86,2.6042,1.55,2.1173,Name,396,1.00,Name.Noun,396.1
abbreviate,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
abbreviated,16,14,14,13,0.31,1.2304,0.17,1.1761,Adjective,12,0.75,Adjective.Verb,12.4
abbreviation,12,8,12,8,0.24,1.1139,0.10,0.9542,Noun,12,1.00,Noun,12
abbreviations,10,8,10,8,0.20,1.0414,0.10,0.9542,Noun,10,1.00,Noun,10
abby,637,102,0,0,12.49,2.8048,1.22,2.0128,Name,632,1.00,Name,632
abc,124,92,0,0,2.43,2.0969,1.10,1.9685,Name,114,0.91,Name.Noun,114.11
abd,1,1,0,0,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abdicate,9,9,9,9,0.18,1.0000,0.11,1.0000,Verb,9,1.00,Verb,9
abdicated,7,7,7,7,0.14,0.9031,0.08,0.9031,Verb,7,1.00,Verb,7
abdicates,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abdicating,3,3,1,1,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
abdication,6,6,5,5,0.12,0.8451,0.07,0.8451,Noun,6,1.00,Noun,6
abdomen,171,122,152,116,3.35,2.2355,1.45,2.0899,Noun,171,1.00,Noun,171
abdomens,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
abdominal,174,104,149,94,3.41,2.2430,1.24,2.0212,Adjective,174,1.00,Adjective,174
abdominals,7,7,7,7,0.14,0.9031,0.08,0.9031,Noun,7,1.00,Noun,7
abduct,36,32,36,32,0.71,1.5682,0.38,1.5185,Verb,34,0.94,Verb.Noun,34.2
abducted,255,176,250,175,5.00,2.4082,2.10,2.2480,Verb,240,0.94,Verb.Adjective.Name,240.11.3
abductee,20,11,20,11,0.39,1.3222,0.13,1.0792,Noun,20,1.00,Noun,20
abductees,18,13,15,11,0.35,1.2788,0.15,1.1461,Noun,18,1.00,Noun,18
abducting,16,13,15,13,0.31,1.2304,0.15,1.1461,Verb,16,1.00,Verb,16
abduction,185,111,179,109,3.63,2.2695,1.32,2.0492,Noun,185,1.00,Noun,185
abductions,42,22,42,22,0.82,1.6335,0.26,1.3617,Noun,41,1.00,Noun,41
abductor,18,13,16,13,0.35,1.2788,0.15,1.1461,Noun,17,0.94,Noun.Name,17.1
abductors,11,8,11,8,0.22,1.0792,0.10,0.9542,Noun,11,1.00,Noun,11
abducts,8,8,7,7,0.16,0.9542,0.10,0.9542,Verb,8,1.00,Verb,8
abeam,7,4,7,4,0.14,0.9031,0.05,0.6990,Noun,6,0.86,Noun.Verb,6.1
abed,10,9,6,6,0.20,1.0414,0.11,1.0000,Adverb,10,1.00,Adverb,10
abel,68,24,2,2,1.33,1.8388,0.29,1.3979,Name,66,0.97,Name.Verb.Noun,66.1.1
abele,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
abend,9,6,0,0,0.18,1.0000,0.07,0.8451,Noun,6,0.67,Noun.Name,6.3
aberdeen,17,12,0,0,0.33,1.2553,0.14,1.1139,Name,17,1.00,Name,17
